phrase,phrase_count
الرعايه المركزه,15
وزاره الصحه,6
الصحه والسكان،,5
رئيس مجلس,5
وزير الصحه,4
رئيس الوزراء,4
البشريه وزير الصحه,3
الدكتور خالد,3
الدكتور خالد عبد,3
البشريه وزير,3
