phrase,phrase_count
منتخب مصر,37
كوت ديفوار,30
اقرا ايضا,24
مصر الدقيقه,21
عمر مرموش,16
ديفوار الدقيقه,14
كوت ديفوار الدقيقه,14
منتخب كوت,13
محمد صلاح,12
يسجل الهدف,12
