phrase,phrase_count
امم افريقيا,166
كاس امم,132
منتخب مصر,129
كاس امم افريقيا,126
كوت ديفوار,125
بطوله كاس,73
بطوله كاس امم,66
منتخب كوت,63
منتخب كوت ديفوار,62
محمد صلاح,60
