phrase,phrase_count
الدكتور مصطفي,11
رئيس الوزراء,10
كاس الامم,10
نهائي كاس,10
نصف نهائي,9
كوت ديفوار,8
الامم الافريقيه,8
كاس الامم الافريقيه,8
للشراء للبيع,8
نهائي كاس الامم,8
