phrase,phrase_count
الجنيه المصري,10
مقابل الجنيه,9
الجنيه المصري اليوم,8
المصري اليوم,8
مقابل الجنيه المصري,7
مصر وكوت,6
امم افريقيا,5
مصر وكوت ديفوار,5
وكوت ديفوار,5
كوت ديفوار,5
